Category,ID,Latitude,Longitude,Date,MODIS_Tile,MCD43A4_006_Line_Y_500m,MCD43A4_006_Sample_X_500m,MCD43A4_006_Nadir_Reflectance_Band1,MCD43A4_006_Nadir_Reflectance_Band2,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band1,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band2,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band1_bitmask,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band1_MODLAND,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band1_MODLAND_Description,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band1_Fill,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band1_Fill_Description,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band2_bitmask,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band2_MODLAND,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band2_MODLAND_Description,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band2_Fill,MCD43A4_006_BRDF_Albedo_Band_Mandatory_Quality_Band2_Fill_Description
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-01,h11v04,1382,1241,0.2127,0.2525,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-02,h11v04,1382,1241,0.2125,0.2525,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-03,h11v04,1382,1241,0.2132,0.2529,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-04,h11v04,1382,1241,0.2139,0.2533,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-05,h11v04,1382,1241,0.2147,0.2537,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-06,h11v04,1382,1241,0.2007,0.2482,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-07,h11v04,1382,1241,0.2015,0.2486,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-08,h11v04,1382,1241,0.2023,0.2491,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-09,h11v04,1382,1241,0.3866,0.4468,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-10,h11v04,1382,1241,0.3868,0.4472,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-11,h11v04,1382,1241,0.3869,0.4476,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-12,h11v04,1382,1241,0.3871,0.448,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-13,h11v04,1382,1241,0.3872,0.4484,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-14,h11v04,1382,1241,0.3874,0.4488,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-15,h11v04,1382,1241,0.3876,0.4492,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-16,h11v04,1382,1241,0.3878,0.4497,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-17,h11v04,1382,1241,0.3881,0.4502,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-18,h11v04,1382,1241,0.3883,0.4507,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-19,h11v04,1382,1241,0.3886,0.4512,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-20,h11v04,1382,1241,0.3889,0.4518,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-21,h11v04,1382,1241,0.3891,0.4523,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-22,h11v04,1382,1241,0.3894,0.4528,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-23,h11v04,1382,1241,0.3897,0.4533,1,1,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,,0b00000001,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b0000000,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-24,h11v04,1382,1241,32767.0,32767.0,255,255,0b11111111,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b1111111,,0b11111111,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b1111111,
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-25,h11v04,1382,1241,32767.0,32767.0,255,255,0b11111111,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b1111111,,0b11111111,0b1,"Processed, see other QA (magnitude BRDF inversions)",0b1111111,
