Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD10A1_006_Line_Y_500m,MOD10A1_006_Sample_X_500m,MOD10A1_006_NDSI_Snow_Cover,MOD10A1_006_NDSI_Snow_Cover_Basic_QA,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA,MOD10A1_006_NDSI_Snow_Cover_Basic_QA_bitmask,MOD10A1_006_NDSI_Snow_Cover_Basic_QA_Quality_Mask,MOD10A1_006_NDSI_Snow_Cover_Basic_QA_Quality_Mask_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_bitmask,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Inland_Water,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Inland_Water_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Low_Visible_Screen,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Low_Visible_Screen_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Low_NDSI_Screen,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Low_NDSI_Screen_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Combined_temperature/height_screen,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Combined_temperature/height_screen_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Shortware_IR_(SWIR)_reflectance_anomalously_high,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Shortware_IR_(SWIR)_reflectance_anomalously_high_Description,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Solar_zenith_screen_failed,MOD10A1_006_NDSI_Snow_Cover_Algorithm_Flags_QA_Solar_zenith_screen_failed_Description
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-01,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-02,h11v04,1382,1241,250,2,128,0b00000010,0b00000010,OK,0b10000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-03,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-04,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-05,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-06,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-07,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-08,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-09,h11v04,1382,1241,250,2,128,0b00000010,0b00000010,OK,0b10000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes
0.013157895,ELKBR187,44.24152,-90.49231,2015-01-10,h11v04,1382,1241,250,0,0,0b00000000,0b00000000,Best,0b00000000,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No
